+----------+-------+---------+-----------+
| 原理图的材料清单 'Unnamed' (1 of 1 区域)         |
+----------+-------+---------+-----------+
| Item     | Total | Missing | Available |
+----------+-------+---------+-----------+
| 水桶       | 20480 |   20480 |         0 |
| 红色混凝土    |  8015 |    8015 |         0 |
| 石砖台阶     |  6255 |    6255 |         0 |
| 石头       |  5359 |    5359 |         0 |
| 石砖       |  4990 |    4990 |         0 |
| 磨制安山岩    |  3845 |    3845 |         0 |
| 云杉木楼梯    |  2098 |    2098 |         0 |
| 泥土       |   949 |     949 |         1 |
| 白色混凝土    |   868 |     868 |         0 |
| 云杉木栅栏    |   867 |     867 |         0 |
| 云杉木台阶    |   774 |     774 |         0 |
| 睡莲       |   723 |     723 |         0 |
| 荧石       |   661 |     661 |         0 |
| 红色地毯     |   624 |     624 |         0 |
| 雕纹石砖     |   514 |     514 |         0 |
| 平滑石头     |   464 |     464 |         0 |
| 橡木原木     |   440 |     440 |         0 |
| 石头台阶     |   418 |     418 |         0 |
| 灯笼       |   364 |     364 |         0 |
| 磨制安山岩楼梯  |   361 |     361 |         0 |
| 金合欢木楼梯   |   338 |     338 |         0 |
| 云杉木栅栏门   |   318 |     318 |         0 |
| 石砖墙      |   264 |     264 |         1 |
| 安山岩      |   256 |     256 |         0 |
| 苔石砖      |   248 |     248 |         0 |
| 脑纹珊瑚扇    |   231 |     231 |         0 |
| 诡异木活板门   |   231 |     231 |         0 |
| 石砖楼梯     |   207 |     207 |         0 |
| 黑色混凝土    |   152 |     152 |         0 |
| 深色橡木台阶   |   134 |     134 |         0 |
| 火把       |   122 |     122 |         0 |
| 锁链       |   120 |     120 |         0 |
| 深色橡木楼梯   |   104 |     104 |         0 |
| 丛林木活板门   |   102 |     102 |         0 |
| 裂纹石砖     |   100 |     100 |         0 |
| 云杉木活板门   |    85 |      85 |         0 |
| 去皮深色橡木原木 |    84 |      84 |         0 |
| 黄色旗帜     |    80 |      80 |         0 |
| 光源方块     |    73 |      73 |         0 |
| 菌光体      |    68 |      68 |         0 |
| 海晶灯      |    65 |      65 |         0 |
| 磨制安山岩台阶  |    56 |      56 |         0 |
| 橡木台阶     |    54 |      54 |         0 |
| 橡木楼梯     |    50 |      50 |         0 |
| 深色橡木活板门  |    48 |      48 |         0 |
| 白桦木板     |    43 |      43 |         0 |
| 金合欢木板    |    40 |      40 |         0 |
| 脚手架      |    38 |      38 |         0 |
| 金合欢木台阶   |    36 |      36 |         0 |
| 红色旗帜     |    32 |      32 |         0 |
| 红色带釉陶瓦   |    28 |      28 |         0 |
| 花盆       |    24 |      24 |         0 |
| 蜡烛       |    24 |      24 |         0 |
| 避雷针      |    22 |      22 |         0 |
| 黄色地毯     |    21 |      21 |         0 |
| 光源方块     |    20 |      20 |         0 |
| 木桶       |    20 |      20 |         0 |
| 末地烛      |    20 |      20 |         0 |
| 橡木活板门    |    20 |      20 |         0 |
| 红色染色玻璃板  |    20 |      20 |         0 |
| 深色橡木栅栏   |    18 |      18 |         0 |
| 深色橡木栅栏门  |    18 |      18 |         0 |
| 红石块      |    18 |      18 |         0 |
| 金合欢木活板门  |    18 |      18 |         0 |
| 平滑石头台阶   |    12 |      12 |         0 |
| 海泡菜      |    12 |      12 |         0 |
| 深色橡木压力板  |    12 |      12 |         0 |
| 镶金黑石     |    12 |      12 |         0 |
| 白桦木楼梯    |     9 |       9 |         0 |
| 白色旗帜     |     9 |       9 |         0 |
| 小型紫晶芽    |     8 |       8 |         0 |
| 高炉       |     8 |       8 |         0 |
| 安山岩楼梯    |     6 |       6 |         0 |
| 深色橡树树苗   |     5 |       5 |         0 |
| 白桦木台阶    |     5 |       5 |         0 |
| 橡木木板     |     4 |       4 |         0 |
| 石头楼梯     |     4 |       4 |         0 |
| 丛林树苗     |     3 |       3 |         0 |
| 橡树树苗     |     3 |       3 |         0 |
| 金合欢树苗    |     3 |       3 |         0 |
| 云杉树苗     |     2 |       2 |         0 |
| 光源方块     |     2 |       2 |         0 |
| 兰花       |     2 |       2 |         0 |
| 拉杆       |     2 |       2 |         0 |
| 潮涌核心     |     2 |       2 |         0 |
| 石头按钮     |     2 |       2 |         0 |
| 酿造台      |     2 |       2 |         0 |
| 铃兰       |     2 |       2 |         0 |
| 灰色旗帜     |     1 |       1 |         0 |
| 绒球葱      |     1 |       1 |         0 |
| 绯红菌索     |     1 |       1 |         0 |
| 虞美人      |     1 |       1 |         0 |
| 诡异菌索     |     1 |       1 |         0 |
+----------+-------+---------+-----------+
| Item     | Total | Missing | Available |
+----------+-------+---------+-----------+
